Name,Coordinates
Genesis All-Suite Hotel,    28.09925,-26.14754,
1322 Backpackers,    28.24582,-25.746656,
Pick 'n Pay,    28.236155,-25.749665,
Cape Union Mart,    28.250406,-25.861204,
Maropeng Cradle of Humankind Museum. The Tumulus building,    27.662402,-25.967145,
Potchefstroom,    27.095833,-26.707777,
Adato Guesthouse,    27.093789,-26.709421,
ABSA,    27.104182,-26.713935,
Malealea Lodge,    27.600176,-29.828486,
Roma Trading Post Lodge,    27.703911,-29.442986,
Rhino and Lion Nature Reserve,    27.791716,-25.970685,
Woodpecker Guesthouse,    27.881749,-28.86722,
Teyateyaneng,    27.742755,-29.151971,
Hlotse (Leribe),    28.057941,-28.866891,
Dinosaur Prints,    28.07504,-28.823455,
Welkom,    26.737958,-27.982297,
Mountain Zebra National Park Entrance Gate,    25.509604,-32.140931,
Metolong Dam,    27.776588,-29.335376,
Tsikoane ACL Mission,    27.993914,-28.90155,
Semongkong Lodge,    28.043529,-29.84323,
Ouh La La Cafè,    27.480687,-29.31389,
Piri Piri,    27.473669,-29.315899,
Regal restaurant,    27.478187,-29.313127,
Backpackers Paradise and Joyrides,    22.205189,-33.579822,
Bloemfontein,    26.215506,-29.116384,
New Bethesda,    24.556957,-31.866391,
Cape Paradise Lodge,    18.402489,-33.939762,
Afri-Ski Resort,    28.729169,-28.826963,
Pioneer Mall (Pick n Pay),    27.477388,-29.317025,
Building,    28.259003,-28.75645,
Bethlehem,    28.308888,-28.230833,
Bokmakierie and Hoephoep Guest House,    28.328447,-28.225832,
Graveyard,    24.960055,-31.195411,
The Karoo Lamb,    24.552554,-31.86738,
The Village Inn Restaurant & Karoo Kitchen,    24.552388,-31.867108,
The Barn Restaurant & Pizzeria,    24.552184,-31.865883,
The Blue Mosque,    28.976826,41.005386,
Hagia Sophia,    28.979969,41.008481,
Knysna,    23.048482,-34.035719,
Belvedere,    23,-34.041666,
Mossel Bay,    22.153611,-34.183214,
The Roundhouse Guesthouse,    19.357528,-34.561375,
Coffee On The Rocks,    19.366184,-34.55436,
La Felicita,    18.856634,-34.063523,
Fugard Theatre,    18.424591,-33.927141,
Royale Eatery,    18.414863,-33.926455,
Greenmarket Square,    18.419828,-33.922923,
Fianarantsoa,    47.090344,-21.44778,
Moramanga,    48.230621,-18.943829,
Restaurant Little India,    47.524135,-18.910293,
Hôtel-Restaurant Niaouly,    47.529531,-18.914354,
Catholic Cathedral of Andohalo,    47.53072,-18.917742,
Maison Jean Laborde,    47.531138,-18.917947,
Andafiavaratra,    47.532844,-18.920911,
Viewpoint,    30.88865,-24.876746,
Rova,    47.532184,-18.923501,
Saka-Express,    47.521576,-18.908171,
Café de la Gare (Soarano),    47.520723,-18.903585,
Grace Lodge,    48.410471,-18.947662,
Feon'Ny Ala,    48.418547,-18.946939,
Vakôna Forest Lodge,    48.435104,-18.889679,
CSB II Ambohibary,    48.22781,-18.916162,
Morondava,    44.279392,-20.289634,
Trecigogne,    44.268842,-20.301882,
La Campannina,    44.269432,-20.296363,
Belo sur Tsiribihina,    44.548355,-19.701444,
Mad Zébu,    44.546027,-19.70377,
Belo sur Mer,    44.002005,-20.736302,
Ecolodge de Menabe,    43.995461,-20.745651,
Andranopasy,    43.740538,-21.278379,
Morombe,    43.360558,-21.743955,
Andavadoaka,    43.238099,-22.073602,
Coco Beach,    43.235117,-22.076412,
Salary Avaratra,    43.289259,-22.579475,
L'Escapade,    43.679789,-23.354533,
Ranohira,    45.415707,-22.557214,
Le Palmier,    43.675082,-23.348047,
Orchidée de l'Isalo,    45.414207,-22.556587,
Forest,    44.77815,-19.029897,
Petits Tsingy,    44.812942,-19.141207,
Ambalavao,    46.937474,-21.831986,
Church,    47.103669,-21.409796,
Zomatel,    47.08672,-21.454755,
Gite Le Rianala,    47.421328,-21.255771,
Ecole Hôtelière La Rizière,    47.078584,-21.45815,
Ambositra,    47.244855,-20.533052,
Antsirabe,    47.034666,-19.871403,
Hasina,    47.035278,-19.86797,
Chez Jenny,    47.037115,-19.869748,
Le Pousse-Pousse,    47.03332,-19.872934,
Lower Sabie Rest Camp,    31.916728,-25.120202,
Letaba Rest Camp,    31.576672,-23.85438,
The Pinnacle,    30.854152,-24.911614,
Lisbon Falls,    30.83539,-24.860836,
Bourke's Luck Potholes,    30.810872,-24.674232,
Three Rondavels,    30.798949,-24.57375,
Cullinan,    28.528889,-25.670555,
Premier Diamond Mine,    28.514087,-25.675612,
Sammy Marks,    28.380243,-25.750153,
Sheri's Lodge & Backpackers,    30.842294,-24.933934,
Nhlanganini Dam Viewpoint,    31.495141,-23.933301,
God's Window,    30.889066,-24.876435,
Wonderview,    30.896818,-24.868383,
Pilgrim's Rest,    30.753617,-24.904369,
Hospital,    28.515687,-25.665742,
Premier Diamond Tours,    28.5163,-25.67133,
Lion park,    27.891727,-25.822964,
Krispy Kreme doughnuts,    28.042934,-26.145019,
Pelindaba,    27.919432,-25.798733,
Pick n Pay Super,    28.316428,-28.230767,
Clarens Inn & Backpackers,    28.413275,-28.515752,
Generaalskop Viewpoint,    28.62931,-28.52928,
Oribi Loop,    28.654391,-28.506186,
Harrismith,    29.129459,-28.272772,
Platberg Harrismith Backpackers,    29.129457,-28.269678,
Mantis and Moon Backpackers Lodge,    30.542313,-30.624273,
1322 Backpackers,    28.24582,-25.746656,
Nederduitse Gereformeerde Kerk,    27.086925,-26.691895,
Tzaneen,    30.161101,-23.831933,
